participant_ID,participant_age,participant_gender,participant_start_time,prolific_ID,participant_end_time,complete_study,Include data
11492,47,2,1752262127249,5edeea354d54cb1a825aa8f9,1752266549468,yes,1
38957,32,2,1752264711971,67d43f5c7253c147df75e9e5,1752268279340,yes,1
61444,28,2,1752268360766,67ba079d0b40d4569474bca3,1752270066417,yes,1
31398,37,2,1752416780646,66952685915e1d6f71710d0d,,,
99927,45,1,1752416873221,607081b0ecb2499634a349dd,,,
42229,37,2,1752416893032,5c180a3ac59c17000167491e,,,
22306,46,1,1752416900189,67bf7350d1bc6412e8768ca1,,,
16551,21,2,1752416905844,63d9d5072e083033fc895df1,,,
16379,46,1,1752416910689,669a4f388b2de8df723faf1e,,,
27008,49,2,1752416958779,63d79fcd741f9cfb2f87152f,,,
72626,47,1,1752416978011,5a4ff86beedc32000141f232,,,
42863,49,2,1752417115028,5ddd2a4459b1b0c7509c7a47,,,
50861,38,2,1752416788306,60fd6618f9a377f54dcdf318,1752417724810,yes,1
83485,42,2,1752417383371,6061ef11da123a1d9e55c6c8,,,
41384," 23",2,1752416777368,63fbd3e8b4865c6e1fb04614,1752418123525,yes,1
84409,28,1,1752416845150,667439c6372889c378fc8bdb,1752418170100,yes,1
33270,24,1,1752417034629,5ad614eb33a3ab0001fa62cd,1752418371460,yes,1
78821,41,2,1752418260912,5b26da1934ffd00001b45d8d,,,
38794,30,2,1752416879276,582468295f4d1c0001c7c467,1752418468168,yes,1
23429,39,1,1752416776963,5bbb5e3f118c0600013c3202,1752418429152,yes,1
22826,41,2,1752416813983,63ea4b5592211a79471c9deb,1752418721926,yes,1
89703,27,2,1752416828020,5d6514e7e6cdab000149fdf1,1752418820106,yes,1
41788,38,2,1752416820031,62d6d87d91cf24a3c1c0f10c,1752418895374,yes,1
39320,44,2,1752416803011,62db2644ab0a3a353c0dcb54,1752418425586,yes,1
65534,44,1,1752417028868,5dc1eb838a84461511b3cd73,1752418919028,yes,1
33211,20,2,1752417085792,665efdf173820edd2b8d4d23,1752419047692,yes,1
49157,44,2,1752417008406,61369e0db0f0be2588e09863,1752419124174,yes,1
50862,49,2,1752417399879,63d79fcd741f9cfb2f87152f,1752419206071,yes,1
35669,20,2,1752416786288,66e12593ddd5a01785c4e288,1752419316283,yes,1
55599,45,1,1752416845924,57c357770e6a1f00015f6038,1752419308262,yes,1
30122,35,1,1752416823815,6150b927614a4f154f311f9d,1752419433466,yes,1
16234,49,1,1752416886549,5ced66139b5b490001b688ed,1752419486647,yes,1
99496,33,2,1752416887598,62e154b0682e270b4acdf5ee,1752419503633,yes,1
46711,38,2,1752417198300,633eb584ec1a3cf0efdc2563,1752419492620,yes,1
67900,37,2,1752418343995,5c180a3ac59c17000167491e,1752419536686,yes,1
17304,34,1,1752416843866,67ae36e6472072f99199d636,1752419639864,yes,1
48354,34,2,1752416885883,60d9ce9737af4d27b6640d37,1752419712780,yes,1
94659,42,2,1752416848196,5fbf90f025a567296d943c7e,1752419707841,yes,1
47804,36,1,1752416903426,65d31bc0e3f907e4ffc0693a,1752419806252,yes,1
26627,47,1,1752416950442,5d8b66f5d189bd001a378273,1752419959445,yes,1
54409,42,1,1752417041886,672380a64e984ba03695602f,1752419986501,yes,1
71591,32,1,1752417316066,671cd612f039f8a9b5e55cca,1752420017250,yes,1
63854,24,1,1752417077781,677c00e0f6d8cdcff534ecb7,1752420115580,yes,1
70424,31,1,1752417074307,66598d6e838231ffe9e1613b,1752420123663,yes,1
43118,33,2,1752416868826,615dd5ed4fd5b2c64eee7e99,1752420181689,yes,1
49061,46,1,1752416904537,66a650edd11f522be18e4722,1752420214968,yes,1
62828,29,2,1752416939719,56f52b95298124000a8ef248,1752420333621,yes,1
37559,28,2,1752418037229,65107641138d7e50e2a290d0,1752420412916,yes,1
69820,35,1,1752416897844,"613dd5fb512aabe8d5d32393 ",1752421234485,yes,1
41919,29,2,1752416807257,673b8b36a23f091c707518ae,1752420750302,yes,1
53025,26,2,1752417067621,63d1c3aec175ba81e9f50cf9,1752420900138,yes,1
59088,25,1,1752416921807,66608c01ba26ee705a1293ed,1752420945403,yes,1
37239,46,1,1752419198690,67bf7350d1bc6412e8768ca1,1752420974460,yes,1
71920,25,2,1752417000458,678e5caae9c26b68d7db8a40,1752421277525,yes,1
87091,33,1,1752417839723,675436e14d7ef1173a74a5b8,1752421853688,yes,1
18724,46,1,1752417313723,66635646a7a1d8a178001236,1752422138079,yes,1
40377,27,1,1752416848208,5f69a3c91c1e25193e3f9c7b,1752422214069,yes,1
94161,20,2,1752418537709,657b31d3363aace295f9106e,1752423486401,yes,1
63396,22,2,1752424143798,65767883259bc98ce7208014,1752426724525,yes,1
85186,30,2,1752438411568,673918cac1da9f53da621209,,,
10978,43,2,1752432623766,test,,,
37703,38,1,1752438483648,659ad0979a272fc8ff0e124a,1752439814309,yes,1
87842,48,2,1752438433609,60cbec9c1cc8ff8b9cd32c44,1752440662214,yes,1
43294,36,2,1752438536973,63d3fb4fd3c313dca0920312,1752440858902,yes,1
54761,26,1,1752438548614,60db48619d10beb5c73430f5,1752440954120,yes,1
50895,37,1,1752442543836,60ba366b3792b3b40b6716bc,1752444019938,yes,1
