Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
29,1700588161244,21/11/2023 17:36:01,1700588160121,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-9-quantised,5
30,1700588161244,21/11/2023 17:36:01,1700588160121,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-10,4. Neither agree nor disagree
31,1700588161244,21/11/2023 17:36:01,1700588160121,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-10-quantised,4
32,1700588161244,21/11/2023 17:36:01,1700588160121,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,END QUESTIONNAIRE,15033
1,1700588002121,21/11/2023 17:33:22,1700588001833,-5,21/11/2023 12:33:21,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,,BFI10,3,BA,2,No,BEGIN QUESTIONNAIRE,
2,1700588023277,21/11/2023 17:33:43,1700588023041,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,extroversion_score,4
3,1700588023449,21/11/2023 17:33:43,1700588023042,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,extroversion_rating,Medium Low
4,1700588023449,21/11/2023 17:33:43,1700588023042,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,agreeableness_score,4
5,1700588023449,21/11/2023 17:33:43,1700588023043,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,agreeableness_rating,Low
6,1700588023449,21/11/2023 17:33:43,1700588023043,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,conscientiousness_score,4
7,1700588023449,21/11/2023 17:33:43,1700588023043,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,conscientiousness_rating,Low
8,1700588023449,21/11/2023 17:33:43,1700588023043,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,emotional_stability_score,4
9,1700588023449,21/11/2023 17:33:43,1700588023043,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,emotional_stability_rating,Medium Low
10,1700588023449,21/11/2023 17:33:43,1700588023043,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,openness_score,4
11,1700588023449,21/11/2023 17:33:43,1700588023043,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,openness_rating,Low
12,1700588023449,21/11/2023 17:33:43,1700588023043,-5,21/11/2023 12:33:43,132936,24,questionnaire-mcfk,,33107565,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,BFI10,3,BA,2,No,response-1,6. Agree moderately
