Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1706885653358,02/02/2024 14:54:13,1706867653358,-5,02/02/2024 04:54:13,163181,2,task-5xl3,,34736084,eookhlqw,10270100,,complete,mljpfy,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1600x900,1600x789,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706885662416,02/02/2024 14:54:22,1706867662416,-5,02/02/2024 04:54:22,163181,2,task-5xl3,,34736084,eookhlqw,10270100,,complete,mljpfy,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1600x900,1600x789,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,9062.84,9058.98,9062.84,9062.84,9058.98,9062.84,1,9062.84,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706885662418,02/02/2024 14:54:22,1706867662418,-5,02/02/2024 04:54:22,163181,2,task-5xl3,,34736084,eookhlqw,10270100,,complete,mljpfy,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1600x900,1600x789,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706886284408,02/02/2024 15:04:44,1706857484408,-8,01/02/2024 23:04:44,163181,2,task-5xl3,,34736979,qvr1j54m,10270275,,complete,koewbl,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,2880x1620,1455x1184,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706886313804,02/02/2024 15:05:13,1706857513804,-8,01/02/2024 23:05:13,163181,2,task-5xl3,,34736979,qvr1j54m,10270275,,complete,koewbl,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,2880x1620,1455x1184,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,29401.14,29391.059999999998,29401.14,29401.14,29391.059999999998,29401.14,1,29401.14,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706886313807,02/02/2024 15:05:13,1706857513807,-8,01/02/2024 23:05:13,163181,2,task-5xl3,,34736979,qvr1j54m,10270275,,complete,koewbl,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,2880x1620,1455x1184,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706886651687,02/02/2024 15:10:51,1706857851687,-8,01/02/2024 23:10:51,163181,2,task-5xl3,,34737644,00z4eueg,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x660,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706886684523,02/02/2024 15:11:24,1706857884523,-8,01/02/2024 23:11:24,163181,2,task-5xl3,,34737644,00z4eueg,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x660,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,32881.48399990463,32867.537,32881.48399990463,32881.48399990463,32867.537,32881.48399990463,1,32881.48399990463,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706886684534,02/02/2024 15:11:24,1706857884534,-8,01/02/2024 23:11:24,163181,2,task-5xl3,,34737644,00z4eueg,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x660,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706886740274,02/02/2024 15:12:20,1706868740274,-5,02/02/2024 05:12:20,163181,2,task-5xl3,,34737831,c9rq5b0y,10270474,,complete,mijwzc,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1366x768,1517x665,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
