"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","order","chatType","question","chat_condition","questionFull","bfi44_extraversion","bfi44_agreeableness","bfi44_conscientiousness","bfi44_neuroticism","bfi44_openness","chat","quest","aff_score"
12165240,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",1,"Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me",0.625,28,36,28,40,"Extrovert","understood",-2
12165240,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",2,"Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me",0.625,28,36,28,40,"Introvert","different",1
12165240,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",5,"Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me",0.625,28,36,28,40,"Extrovert","different",-2
12165240,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",1,"Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again",0.625,28,36,28,40,"Introvert","chat-again",-2
12165240,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",1,"Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again",0.625,28,36,28,40,"Extrovert","chat-again",-2
12166182,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",5,"Introvert first","Introvert","similar","pat_int","I felt that <br>we are similar",0.71875,29,31,23,43,"Introvert","similar",2
12166182,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",4,"Introvert first","Extrovert","similar","pat_int","I felt that <br>we are similar",0.71875,29,31,23,43,"Extrovert","similar",1
12166182,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",4,"Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation",0.71875,29,31,23,43,"Introvert","enjoy",1
12166182,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",4,"Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation",0.71875,29,31,23,43,"Extrovert","enjoy",1
12166182,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",2,"Introvert first","Introvert","distant","pat_int","I felt distant <br>from them",0.71875,29,31,23,43,"Introvert","distant",1
