Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
2,1705418746122,16/01/2024 15:25:46,1705400746122,-5,16/01/2024 05:25:46,154938,3,questionnaire-ptwy,,34255855,27x8i5py,10117196,,complete,srdufa,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x960,1536x791,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1705419001866,16/01/2024 15:30:01,1705401001866,-5,16/01/2024 05:30:01,154938,3,questionnaire-ptwy,,34256109,03fsrjtm,10117171,,complete,vskkpq,,tablet,undefined K,Android 10,Chrome 120.0.0.0,1494x935,1494x767,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1705419008556,16/01/2024 15:30:08,1705401008556,-5,16/01/2024 05:30:08,154938,3,questionnaire-ptwy,,34256109,03fsrjtm,10117171,,complete,vskkpq,,tablet,undefined K,Android 10,Chrome 120.0.0.0,1494x935,1494x767,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705419004825,16/01/2024 15:30:04,1705401004825,-5,16/01/2024 05:30:04,154938,3,questionnaire-ptwy,,34256110,ok30b186,10117146,,complete,hpqlbf,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,796x641,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1705419030228,16/01/2024 15:30:30,1705401030228,-5,16/01/2024 05:30:30,154938,3,questionnaire-ptwy,,34256110,ok30b186,10117146,,complete,hpqlbf,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,796x641,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1705418779678,16/01/2024 15:26:19,1705400779678,-5,16/01/2024 05:26:19,154938,3,questionnaire-ptwy,,34255890,961h4kop,10117204,,complete,zhpkco,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2560x1440,1880x1009,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1705418782401,16/01/2024 15:26:22,1705400782401,-5,16/01/2024 05:26:22,154938,3,questionnaire-ptwy,,34255890,961h4kop,10117204,,complete,zhpkco,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2560x1440,1880x1009,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705418848347,16/01/2024 15:27:28,1705400848347,-5,16/01/2024 05:27:28,154938,3,questionnaire-ptwy,,34255948,o46n3toe,10117263,,complete,jcsuwg,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x641,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1705418852649,16/01/2024 15:27:32,1705400852649,-5,16/01/2024 05:27:32,154938,3,questionnaire-ptwy,,34255948,o46n3toe,10117263,,complete,jcsuwg,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x641,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705419011125,16/01/2024 15:30:11,1705401011125,-5,16/01/2024 05:30:11,154938,3,questionnaire-ptwy,,34256119,opetxfl9,10117310,,complete,relmjs,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1705419026778,16/01/2024 15:30:26,1705401026778,-5,16/01/2024 05:30:26,154938,3,questionnaire-ptwy,,34256119,opetxfl9,10117310,,complete,relmjs,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1705419522346,16/01/2024 15:38:42,1705401522346,-5,16/01/2024 05:38:42,154938,3,questionnaire-ptwy,,34256516,vym8teyy,10117352,,complete,tgfqkt,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1705419524560,16/01/2024 15:38:44,1705401524560,-5,16/01/2024 05:38:44,154938,3,questionnaire-ptwy,,34256516,vym8teyy,10117352,,complete,tgfqkt,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705419622533,16/01/2024 15:40:22,1705390822533,-8,15/01/2024 23:40:22,154938,3,questionnaire-ptwy,,34256581,cnvmlhip,10117266,,complete,mogndj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2560x1440,1279x1312,,,0,Debrief,3,BA,1,,,,,5,,BEGIN,,,,,
2,1705419624179,16/01/2024 15:40:24,1705390824179,-8,15/01/2024 23:40:24,154938,3,questionnaire-ptwy,,34256581,cnvmlhip,10117266,,complete,mogndj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2560x1440,1279x1312,,,0,Debrief,3,BA,1,,,,,5,,END,,,,,
1,1705420264196,16/01/2024 15:51:04,1705391464196,-8,15/01/2024 23:51:04,154938,3,questionnaire-ptwy,,34256909,17xk5ztn,10117424,,complete,floywu,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x911,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
