"participant_ID","botcondition","bots_Mixed","bots_Negative","bots_Neutral","bots_Positive","bots_mean_words","user_Mixed","user_Negative","user_Neutral","user_Positive","user_mean_words","user_mean_rt","num_interactions","gpt_user_mirror","user_gpt_mirror"
11492,"mirror",3,0,1,22,39.7307692307692,5,0,7,14,23,NA,26,0.692307692307692,0.6
38957,"mirror",0,0,2,24,37.3076923076923,1,0,5,20,28.8076923076923,NA,26,0.846153846153846,0.72
61444,"mirror",5,0,8,13,38.9615384615385,2,0,20,4,10.0769230769231,NA,26,0.423076923076923,0.4
50861,"mirror",1,0,9,16,28.7692307692308,0,0,22,4,3.30769230769231,NA,26,0.384615384615385,0.4
41384,"mirror",7,0,14,5,39.0769230769231,0,4,22,0,7.96153846153846,NA,26,0.423076923076923,0.48
84409,"mirror",13,1,10,2,38.4615384615385,0,1,24,1,7.73076923076923,NA,26,0.346153846153846,0.32
33270,"mirror",5,0,14,7,36.8076923076923,4,0,20,2,13.8461538461538,NA,26,0.538461538461538,0.64
39320,"mirror",6,0,5,14,26.52,3,1,19,2,6.56,NA,25,0.28,0.208333333333333
23429,"mirror",1,0,1,24,34.5384615384615,5,0,5,16,18.5384615384615,NA,26,0.692307692307692,0.64
17304,"mirror",5,0,6,15,31.6153846153846,5,0,16,5,9.69230769230769,NA,26,0.192307692307692,0.36
35669,"mirror",1,0,3,21,42.44,4,0,9,12,18.68,NA,25,0.44,0.5
30122,"mirror",10,0,6,10,47.7307692307692,9,0,12,5,20.1153846153846,NA,26,0.461538461538462,0.52
16234,"mirror",10,0,9,7,45.3846153846154,10,5,9,2,18.5,NA,26,0.230769230769231,0.52
46711,"mirror",6,0,12,8,37.7307692307692,8,2,13,3,28,NA,26,0.5,0.36
99496,"mirror",1,0,2,23,30.9615384615385,1,0,14,11,18.0384615384615,NA,26,0.307692307692308,0.44
67900,"mirror",10,5,8,3,41.6153846153846,2,8,14,2,6.73076923076923,NA,26,0.384615384615385,0.44
94659,"mirror",9,1,2,14,54.2692307692308,12,0,8,6,31.0769230769231,NA,26,0.346153846153846,0.36
48354,"mirror",6,1,5,14,35.5,6,0,14,6,22.5384615384615,NA,26,0.5,0.4
18724,"mirror",9,2,13,2,38.9615384615385,9,3,11,3,19.5769230769231,NA,26,0.346153846153846,0.52
37559,"mirror",5,0,5,16,35.7307692307692,8,0,15,3,18.2692307692308,NA,26,0.230769230769231,0.32
41919,"mirror",2,0,17,7,41.7307692307692,1,0,22,3,5.07692307692308,NA,26,0.576923076923077,0.68
53025,"mirror",11,5,7,3,31.8461538461538,2,2,17,5,12.7307692307692,NA,26,0.230769230769231,0.32
59088,"mirror",8,0,4,14,41.0769230769231,11,0,11,4,30.3076923076923,NA,26,0.307692307692308,0.56
37239,"mirror",3,0,4,19,27.8076923076923,4,0,19,3,11.8076923076923,NA,26,0.269230769230769,0.24
69820,"mirror",14,1,3,8,57.0384615384615,9,8,5,4,33.1923076923077,NA,26,0.423076923076923,0.48
71920,"mirror",4,0,13,9,50.9230769230769,2,1,18,5,10.0769230769231,NA,26,0.307692307692308,0.64
87091,"mirror",1,0,3,22,27.7307692307692,1,0,21,4,6,NA,26,0.269230769230769,0.24
40377,"mirror",2,0,1,23,31.9230769230769,3,1,6,16,18.1538461538462,NA,26,0.730769230769231,0.52
94161,"mirror",3,0,16,7,30.0384615384615,3,2,20,1,9.5,NA,26,0.538461538461538,0.56
63396,"mirror",7,4,10,5,39.2307692307692,0,8,15,3,21.7692307692308,NA,26,0.384615384615385,0.4
37703,"mirror",1,1,8,16,28.4615384615385,1,1,17,7,8.38461538461539,NA,26,0.384615384615385,0.4
87842,"mirror",4,0,10,12,31.6538461538462,4,0,16,6,10.4230769230769,NA,26,0.269230769230769,0.44
43294,"mirror",6,0,3,17,38.5,3,0,19,4,16.4230769230769,NA,26,0.115384615384615,0.24
54761,"mirror",7,0,7,12,44.3461538461538,4,1,19,2,18.5384615384615,NA,26,0.269230769230769,0.36
50895,"mirror",1,0,8,17,37.5,0,0,18,8,6.5,NA,26,0.423076923076923,0.6
